
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494194564

2017-05-07T18:07:01.942343: step 79, loss 1.00193, acc 0.578125
2017-05-07T18:07:05.185654: step 80, loss 0.976437, acc 0.59375
2017-05-07T18:07:08.472971: step 81, loss 0.865227, acc 0.640625
2017-05-07T18:07:11.726428: step 82, loss 0.781179, acc 0.71875
2017-05-07T18:07:14.956322: step 83, loss 1.00877, acc 0.640625
2017-05-07T18:07:18.177915: step 84, loss 0.830228, acc 0.671875
2017-05-07T18:07:21.456604: step 85, loss 0.850308, acc 0.71875
2017-05-07T18:07:24.680509: step 86, loss 0.98229, acc 0.578125
2017-05-07T18:07:27.928325: step 87, loss 0.912907, acc 0.609375
2017-05-07T18:07:31.174126: step 88, loss 0.832048, acc 0.6875
2017-05-07T18:07:34.407975: step 89, loss 0.862441, acc 0.640625
2017-05-07T18:07:37.702413: step 90, loss 0.840424, acc 0.625
2017-05-07T18:07:40.918043: step 91, loss 1.07572, acc 0.53125
2017-05-07T18:07:44.194447: step 92, loss 1.0294, acc 0.546875
2017-05-07T18:07:47.429648: step 93, loss 0.877199, acc 0.609375
2017-05-07T18:07:50.701158: step 94, loss 0.959224, acc 0.59375
2017-05-07T18:07:53.972634: step 95, loss 0.903687, acc 0.640625
2017-05-07T18:07:57.225045: step 96, loss 0.888252, acc 0.625
2017-05-07T18:08:00.453382: step 97, loss 0.929255, acc 0.578125
2017-05-07T18:08:03.697368: step 98, loss 0.923432, acc 0.65625
2017-05-07T18:08:06.986269: step 99, loss 0.972288, acc 0.578125
2017-05-07T18:08:10.240870: step 100, loss 1.00842, acc 0.53125

Evaluation:
2017-05-07T18:08:29.934407: step 100, loss 0.924496, acc 0.639

2017-05-07T18:08:33.195036: step 101, loss 0.926001, acc 0.59375
2017-05-07T18:08:36.463970: step 102, loss 0.956434, acc 0.546875
2017-05-07T18:08:39.725280: step 103, loss 0.795251, acc 0.6875
2017-05-07T18:08:43.011603: step 104, loss 0.962982, acc 0.640625
2017-05-07T18:08:46.244456: step 105, loss 0.878361, acc 0.671875
2017-05-07T18:08:49.471857: step 106, loss 0.985837, acc 0.53125
2017-05-07T18:08:52.734422: step 107, loss 0.944806, acc 0.6875
